Substrate,Age_Years,Operating_Temperature_C,Coating_Prime,Coating_Second,Top_Coat,Insulation_Type,Vapor_Barrier,Environment,Jacket_Damage,Corrosion_Result,Area
CS,25,มากกว่าหรือเท่ากับ 200,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,26,160 - <170,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,Yes(20%)/No(80%),
CS,26,170 - <180,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,Yes(9%)/No(91%),
CS,25,130 - <140,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,21,(10) - <0,inorganic zinc,non 2nd coat,non top coat,Cellular glass,Unknown,Industrial,Unknown,Yes,
CS,21,30 - <40,non primer,non 2nd coat,fbe,Cellular glass,Unknown,Industrial,Unknown,No,
CS,21,0 - <10,inorganic zinc,non 2nd coat,non top coat,Cellular glass,Unknown,Industrial,Unknown,Yes(20%)/No(80%),
CS,28,30 - <40,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,25,90 - <100,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,25,100 - <110,inorganic zinc,non 2nd coat,silicone,mineral fiber,Unknown,Industrial,Unknown,No,
CS,27,30 - <40,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,Yes(20%)/No(80%),
CS,25,70 - <80,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,26,190 - <200,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,Yes(54%)/No(46%),
CS,28,90 - <100,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,28,160 - <170,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,25,160 - <170,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,25,20 - <30,inorganic zinc,non 2nd coat,non top coat,Cellular glass,Unknown,Industrial,Unknown,Yes,
CS,26,Cyclic temperature,inorganic zinc,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,No,
CS,27,30 - <40,inorganic zinc,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes(33%)/No(67%),
SS,16,100 - <110,non primer,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,120 - <130,Inorganic zinc,Silicone acrylic,Silicone acrylic Aluminium,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,150 - <160,Inorganic zinc,Silicone acrylic,Silicone acrylic Aluminium,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,100 - <110,Primed coat with 80 µ,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,140 - <150,Inorganic zinc,Silicone,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,30 - <40,Primed coat with 80 µ,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,130 - <140,Inorganic zinc,Silicone,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,มากกว่าหรือเท่ากับ 200,Silicone primer,Silicone MIO,Silicone are blasted after Aluminium,mineral fiber,Unknown,Industrial,Unknown,No,
CS,16,120 - <130,Inorganic zinc,Silicone,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,Yes(10%)/No(90%),
LOW ALLOY STEEL,16,มากกว่าหรือเท่ากับ 200,Silicone primer,Silicone MIO,Silicone are blasted after Aluminium,mineral fiber,Unknown,Industrial,Unknown,No,
LOW ALLOY STEEL,16,มากกว่าหรือเท่ากับ 200,Inorganic zinc,Epoxy,2 component polyurethane,mineral fiber,Unknown,Industrial,Unknown,No,
SS,15,40 - <50,Epoxy,Epoxy,Acrylic aliphatic polyurethane,Cellular glass,Unknown,Industrial,Unknown,No,
SS,15,70 - <80,Epoxy,Epoxy,Acrylic aliphatic polyurethane,Mineral fiber,Unknown,Industrial,Unknown,No,
CS,15,20 - <30,Inorganic zinc,Epoxy,Acrylic aliphatic polyurethane,Cellular glass,Unknown,Industrial,Unknown,No,
LTCS,15,20 - <30,Inorganic zinc,Epoxy,Acrylic aliphatic polyurethane,Cellular glass,Unknown,Industrial,Unknown,No,
CS,15,100 - <110,Inorganic zinc,Silicone acrylic,non top coat,Cellular glass,Unknown,Industrial,Unknown,No,
CS,15,100 - <110,Inorganic zinc,Silicone acrylic,non top coat,Mineral fiber,Unknown,Industrial,Unknown,No,
SS,15,100 - <110,Epoxy,Epoxy,Acrylic aliphatic polyurethane,Cellular glass,Unknown,Industrial,Unknown,No,
CS,35,50 - <60,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,No,
CS,18,160 - <170,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes,
CS,6,160 - <170,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,No,
CS,17,160 - <170,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes,
CS,6,140 - <150,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes,
CS,18,140 - <150,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes,
CS,35,150 - <160,Inorganic Copolymer,non 2nd coat,Inorganic Copolymer,mineral fiber,Unknown,Industrial,Unknown,Yes(55%)/No(45%),
LOW ALLOY STEEL,35,150 - <160,Inorganic Copolymer,non 2nd coat,Inorganic Copolymer,mineral fiber,Unknown,Industrial,Unknown,No,
CS,35,30 - <40,phenolic epoxy,non 2nd coat,phenolic epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes(50%)/No(50%),
CS,12,10 - <20,rich zinc epoxy,Epoxy,Epoxy,cellular glass,Unknown,Industrial,Unknown,Yes,
CS,12,0 - <10,rich zinc epoxy,Epoxy,Epoxy,cellular glass,Unknown,Industrial,Unknown,Yes,
CS,16,(10) - <0,rich zinc epoxy,non 2nd coat,non top coat,cellular glass,Unknown,Industrial,Unknown,Yes(50%)/No(50%),
CS,16,70 - <80,rich zinc epoxy,Epoxy,Epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes,
